"Residence","#Appts","Appts (%)","Length in Hrs","Length (%)","#Clients","Clients (%)"
"Off-Campus","20030","76.58","3638.17","76.54","7366","77.91"
"On-Campus","6126","23.42","1115.33","23.46","2089","22.09"
